A,B,C,D,E,F,G,H
8.2,24.3,0,3.4,6.3,30,6,20
8.4,26.9,3.6,4.4,9.7,39,4,17
4.6,23.4,3.6,5.8,3.3,50,6,6
13.3,15.5,39.8,7.2,9.1,54,30,24
7.6,16.1,2.8,5.6,0,50,20,28
6.2,16.9,0,5.8,4,44,20,24
6.1,18.2,0.2,4.2,5,43,19,26
8.3,17,0,5.6,5,41,11,24
8.8,19.5,0,4,4.1,48,19,17
8.4,22.8,16.2,5.4,7.7,31,7,6
9.1,25.2,0,4.2,11.9,30,6,9
8.5,27.3,0.2,7.2,12.5,41,2,15
10.1,27.9,0,7.2,13,30,6,7
12.1,30.9,0,6.2,12.4,44,7,20
10.1,31.2,0,8.8,13.1,41,6,20
12.4,32.1,0,8.4,11.1,46,7,9
13.8,31.2,0,7.2,8.4,44,6,19
11.7,30,1.2,7.2,10.1,52,6,11
12.4,32.3,0.6,7.4,13,39,4,17
15.6,33.4,0,8,10.4,33,2,13
15.3,33.4,0,8.8,9.5,59,2,31
16.4,19.4,0.4,9.2,0,26,6,11
12.8,18.5,25.8,2.8,0.6,28,13,13
12,24.3,0.4,1.2,7.5,26,6,9
15.4,28.4,0,4.4,8.1,33,9,15
15.6,26.9,0,6.8,8.9,41,6,22
13.3,22.2,0.2,6.6,2.3,39,20,17
